column_name,comment,format
record_date,,
user_id,,
device_id,,
city_id,,
first_a_spend_credits_ts,,
last_a_spend_credits_ts,,
first_a_buy_credits_ts,,
last_a_buy_credits_ts,,
first_a_like_user_ts,,
last_a_like_user_ts,,
first_a_charm_user_ts,,
last_a_charm_user_ts,,
first_a_reject_user_ts,,
last_a_reject_user_ts,,
first_a_block_user_ts,,
last_a_block_user_ts,,
first_crush_ts,,
last_crush_ts,,
first_a_send_message_ts,,
last_a_send_message_ts,,
first_a_buy_subscription_ts,,
last_a_buy_subscription_ts,,
first_activity_ts,,
last_activity_ts,,
spotify_connected,,
instagram_connected,,
