path,foundType,descriptiveType,unique,default,description,choices,regex
data/manifest.js:$.dataTypes.niDevices,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.niDevices.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.niDevices.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.niDevices.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.niDevices.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.niDevices.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeAccountInformation,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeAccountInformation.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeAccountInformation.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeAccountInformation.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeAccountInformation.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeAccountInformation.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBanInformation,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBanInformation.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBanInformation.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBanInformation.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBanInformation.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBanInformation.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBroadcastMetadata,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBroadcastMetadata.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBroadcastMetadata.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBroadcastMetadata.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBroadcastMetadata.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeBroadcastMetadata.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeCommentsMadeByUser,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeCommentsMadeByUser.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeCommentsMadeByUser.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeCommentsMadeByUser.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeCommentsMadeByUser.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeCommentsMadeByUser.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeExpiredBroadcasts,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeExpiredBroadcasts.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeExpiredBroadcasts.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeExpiredBroadcasts.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeExpiredBroadcasts.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeExpiredBroadcasts.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeFollowers,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeFollowers.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeFollowers.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeFollowers.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeFollowers.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeFollowers.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeProfileDescription,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeProfileDescription.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeProfileDescription.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeProfileDescription.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeProfileDescription.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.periscopeProfileDescription.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.personalization,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.personalization.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.personalization.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.personalization.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.personalization.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.personalization.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.phoneNumber,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.phoneNumber.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.phoneNumber.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.phoneNumber.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.phoneNumber.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.phoneNumber.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.professionalData,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.professionalData.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.professionalData.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.professionalData.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.professionalData.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.professionalData.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profile,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profile.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profile.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profile.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profile.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profile.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profile.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profileMedia,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.profileMedia.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.protectedHistory,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.protectedHistory.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.protectedHistory.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.protectedHistory.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.protectedHistory.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.protectedHistory.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.replyPrompt,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.replyPrompt.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.replyPrompt.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.replyPrompt.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.replyPrompt.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.replyPrompt.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.savedSearch,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.savedSearch.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.savedSearch.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.savedSearch.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.savedSearch.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.savedSearch.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.screenNameChange,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.screenNameChange.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.screenNameChange.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.screenNameChange.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.screenNameChange.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.screenNameChange.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.smartblock,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.smartblock.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.smartblock.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.smartblock.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.smartblock.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.smartblock.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.spacesMetadata,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.spacesMetadata.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.spacesMetadata.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.spacesMetadata.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.spacesMetadata.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.spacesMetadata.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.sso,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.sso.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.sso.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.sso.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.sso.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.sso.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweet,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweet.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweet.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweet.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweet.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweet.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweet.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweetMedia,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweetMedia.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweetdeck,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweetdeck.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweetdeck.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweetdeck.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweetdeck.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.tweetdeck.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.userLinkClicks,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.userLinkClicks.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.userLinkClicks.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.userLinkClicks.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.userLinkClicks.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.userLinkClicks.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.verified,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.verified.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.verified.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.verified.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.verified.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.verified.files[*].count,str,None,None,None,None,None,None
data/moment.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/mute.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/mute.js:$[*],dict,None,None,None,None,None,None
data/mute.js:$[*].muting,dict,None,None,None,None,None,None
data/mute.js:$[*].muting.accountId,str,https://schema.org/identifier,None,None,Unique identifiers for currently muted accounts.,None,None
data/mute.js:$[*].muting.userLink,str,None,None,None,"Link to information about the blocked users??? profiles if accessible to the account. For example, this information might not be accessible if blocked profiles are protected or deactivated.",None,None
data/ni-devices.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/ni-devices.js:$[*],dict,None,None,None,None,None,None
data/ni-devices.js:$[*].niDeviceResponse,dict,None,None,None,None,None,None
data/ni-devices.js:$[*].niDeviceResponse.pushDevice,dict,None,None,None,None,None,None
data/ni-devices.js:$[*].niDeviceResponse.pushDevice.deviceVersion,str,None,None,None,Operating system version associated with the device.,None,None
data/ni-devices.js:$[*].niDeviceResponse.pushDevice.udid,str,None,None,None,"Field indicating the application-generated device ID. This ID is unique to the device and persists through device updates, but not through device reinstallations.",None,None
data/ni-devices.js:$[*].niDeviceResponse.pushDevice.deviceType,str,None,None,None,"Manufacturer for devices that are marked as ???pushDevice??. For devices marked as ???messagingDevice??, the field will indicate ???Auth?? if the device is only used for two-factor authentication purposes, and ???Full?? if the device is set to receive notifications from Twitter.",None,None
data/ni-devices.js:$[*].niDeviceResponse.pushDevice.token,str,None,None,None,None,None,None
data/ni-devices.js:$[*].niDeviceResponse.pushDevice.updatedDate,str,None,None,None,Field indicating the last time this association was updated.,None,None
data/ni-devices.js:$[*].niDeviceResponse.pushDevice.createdDate,str,None,None,None,Field indicating when the association between the device and the Twitter account was made.,None,None
data/ni-devices.js:$[*].niDeviceResponse.messagingDevice,dict,None,None,None,None,None,None
data/ni-devices.js:$[*].niDeviceResponse.messagingDevice.phoneNumber,str,None,None,None,Phone number associated with the device.,None,None
data/ni-devices.js:$[*].niDeviceResponse.messagingDevice.carrier,str,None,None,None,Optional field indicating the carrier associated with the device.,None,None
data/ni-devices.js:$[*].niDeviceResponse.messagingDevice.deviceType,str,None,None,None,"Manufacturer for devices that are marked as ???pushDevice??. For devices marked as ???messagingDevice??, the field will indicate ???Auth?? if the device is only used for two-factor authentication purposes, and ???Full?? if the device is set to receive notifications from Twitter.",None,None
data/ni-devices.js:$[*].niDeviceResponse.messagingDevice.updatedDate,str,None,None,None,Field indicating the last time this association was updated.,None,None
data/ni-devices.js:$[*].niDeviceResponse.messagingDevice.createdDate,str,None,None,None,Field indicating when the association between the device and the Twitter account was made.,None,None
data/periscope-account-information.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/periscope-account-information.js:$[*],dict,None,None,None,None,None,None
data/periscope-account-information.js:$[*].periscopeAccountInformation,dict,None,None,None,None,None,None
data/periscope-account-information.js:$[*].periscopeAccountInformation.displayName,str,None,None,None,Periscope account name ported over from the Twitter account when the shell account was created.,None,None
data/periscope-account-information.js:$[*].periscopeAccountInformation.digitsId,str,None,None,None,None,None,None
data/periscope-account-information.js:$[*].periscopeAccountInformation.username,str,None,None,None,Periscope account @username ported over from the Twitter account when the shell account was created.,None,None
data/periscope-account-information.js:$[*].periscopeAccountInformation.twitterId,str,None,None,None,Unique identifier for the Twitter account.,None,None
data/periscope-account-information.js:$[*].periscopeAccountInformation.id,str,None,None,None,"Periscope shell account unique identifier automatically created as soon as the user goes to the ""Live"" section of the News Camera. A Periscope shell account will be created for the Twitter user before the user goes live.",None,None
data/periscope-account-information.js:$[*].periscopeAccountInformation.twitterScreenName,str,None,None,None,The Twitter account???s current @username. Note that the @username may change but the account ID will remain the same for the lifetime of the account.,None,None
data/periscope-account-information.js:$[*].periscopeAccountInformation.isTwitterUser,bool,https://schema.org/True,None,true,Indicates whether the Periscope account is also a Twitter user. This is always true.,true,true
data/periscope-account-information.js:$[*].periscopeAccountInformation.createdAt,str,https://schema.org/DateTime,None,None,"Date and time the ""shell account"" was created.",None,"[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9]{2}:[0-9]{2}:[0-9]{2}(\.[0-9]{1,3})?Z "
data/periscope-ban-information.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/periscope-ban-information.js:$[*],dict,None,None,None,None,None,None
data/periscope-ban-information.js:$[*].periscopeBanInformation,dict,None,None,None,None,None,None
data/periscope-broadcast-metadata.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/periscope-comments-made-by-user.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/periscope-expired-broadcasts.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/periscope-followers.js:$,RootNode,None,N/A,N/A,Other accounts that follow this shell account.,N/A,N/A
data/periscope-profile-description.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/periscope-profile-description.js:$[*],dict,None,None,None,None,None,None
data/periscope-profile-description.js:$[*].periscopeProfileDescription,dict,None,None,None,Periscope account description ported over from the Twitter account when the shell account was created.,None,None
data/periscope-profile-description.js:$[*].periscopeProfileDescription.bio,str,None,None,None,None,None,None
data/personalization.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/personalization.js:$[*],dict,None,None,None,None,None,None
data/personalization.js:$[*].p13nData,dict,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.demographics,dict,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.demographics.languages,list,None,None,None,Languages associated with the account. Please note that this information may be inferred.,None,None
data/personalization.js:$[*].p13nData.demographics.languages[*],dict,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.demographics.languages[*].language,str,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.demographics.languages[*].isDisabled,bool,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.demographics.genderInfo,dict,None,None,None,Gender associated with the account. Please note that this information may be inferred.,None,None
data/personalization.js:$[*].p13nData.demographics.genderInfo.gender,str,None,None,None,Gender associated with the account. Please note that this information may be inferred.,None,None
data/personalization.js:$[*].p13nData.interests,dict,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.interests.interests,list,None,None,None,Interests associated with the account. Please note that this information may be inferred.,None,None
data/personalization.js:$[*].p13nData.interests.interests[*],dict,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.interests.interests[*].name,str,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.interests.interests[*].isDisabled,bool,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.interests.partnerInterests,list,None,None,None,Interests from partners that are associated with the account.,None,None
data/personalization.js:$[*].p13nData.interests.audienceAndAdvertisers,dict,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.interests.audienceAndAdvertisers.numAudiences,str,None,None,None,Number of tailored audiences (audiences generated by advertisers) the account is a part of.,None,None
data/personalization.js:$[*].p13nData.interests.audienceAndAdvertisers.advertisers,list,None,None,None,List of screennames for the advertisers that own the tailored audiences the account is a part of.,None,None
data/personalization.js:$[*].p13nData.interests.audienceAndAdvertisers.lookalikeAdvertisers,list,None,None,None,List of screen names for the advertisers that own the look-alike audiences the account is a part of.,None,None
data/personalization.js:$[*].p13nData.interests.audienceAndAdvertisers.lookalikeAdvertisers[*],str,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.interests.audienceAndAdvertisers.doNotReachAdvertisers,list,None,None,None,List of screen names for the advertisers that own Do Not Reach Lists the account is a part of,None,None
data/personalization.js:$[*].p13nData.interests.shows,list,None,None,None,TV shows associated with the account. Please note that this information may be inferred.,None,None
data/personalization.js:$[*].p13nData.interests.shows[*],str,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.locationHistory,list,None,None,None,Location history associated with the account based on activity from the last 60 days.,None,None
data/personalization.js:$[*].p13nData.inferredAgeInfo,dict,None,None,None,Date of birth Twitter has inferred about the account and corresponding current age.,None,None
data/personalization.js:$[*].p13nData.inferredAgeInfo.age,list,None,None,None,Corresponding current age.,None,None
data/personalization.js:$[*].p13nData.inferredAgeInfo.age[*],str,None,None,None,None,None,None
data/personalization.js:$[*].p13nData.inferredAgeInfo.birthDate,str,None,None,None,Date of birth Twitter has inferred about the account,None,None
data/phone-number.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/phone-number.js:$[*],dict,None,None,None,None,None,None
data/phone-number.js:$[*].device,dict,None,None,None,None,None,None
data/phone-number.js:$[*].device.phoneNumber,str,None,None,None,Phone number currently associated with the account if a phone number has been provided.,None,None
data/professional-data.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/profile.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/profile.js:$[*],dict,None,None,None,None,None,None
data/profile.js:$[*].profile,dict,None,None,None,None,None,None
data/profile.js:$[*].profile.description,dict,None,None,None,None,None,None
data/profile.js:$[*].profile.description.bio,str,None,None,None,"Current account bio as displayed on the profile, if the user has provided one.",None,None
data/profile.js:$[*].profile.description.website,str,None,None,None,"Current account website as displayed on the profile, if the user has provided one.",None,None
data/profile.js:$[*].profile.description.location,str,None,None,None,"Current account location as displayed on the profile, if the user has provided one.",None,None
data/profile.js:$[*].profile.avatarMediaUrl,str,None,None,None,"Link to the current profile avatar image, if the user has provided one.",None,None
data/profile.js:$[*].profile.headerMediaUrl,str,None,None,None,"Link to the current profile header image, if the user has provided one.",None,None
data/protected-history.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/reply-prompt.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/saved-search.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/screen-name-change.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/screen-name-change.js:$[*],dict,None,None,None,None,None,None
data/screen-name-change.js:$[*].screenNameChange,dict,None,None,None,None,None,None
data/screen-name-change.js:$[*].screenNameChange.accountId,str,https://schema.org/identifier,None,None,Unique identifier for the account.,None,None
data/screen-name-change.js:$[*].screenNameChange.screenNameChange,dict,None,None,None,None,None,None
data/screen-name-change.js:$[*].screenNameChange.screenNameChange.changedAt,str,None,None,None,Date and time the name was changed.,None,None
data/screen-name-change.js:$[*].screenNameChange.screenNameChange.changedFrom,str,None,None,None,Previous screen name associated with the account.,None,None
data/screen-name-change.js:$[*].screenNameChange.screenNameChange.changedTo,str,None,None,None,New screen name associated with the account.,None,None
data/smartblock.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/spaces-metadata.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/sso.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/tweet.js:$,RootNode,None,N/A,N/A,All the Tweets posted and not deleted.,N/A,N/A
data/tweet.js:$[*],dict,https://github.com/hestiaAI/Argonodes/wiki/Twitter:tweet,None,None,"A single tweet,",None,None
data/tweet.js:$[*].tweet,dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.retweeted,bool,None,None,None,None,None,None
data/tweet.js:$[*].tweet.source,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities,dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.hashtags,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.hashtags[*],dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.hashtags[*].text,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.hashtags[*].indices,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.hashtags[*].indices[*],str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.symbols,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.user_mentions,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.user_mentions[*],dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.user_mentions[*].name,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.user_mentions[*].screen_name,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.user_mentions[*].indices,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.user_mentions[*].indices[*],str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.user_mentions[*].id_str,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.user_mentions[*].id,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.urls,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.urls[*],dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.urls[*].url,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.urls[*].expanded_url,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.urls[*].display_url,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.urls[*].indices,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.urls[*].indices[*],str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*],dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].expanded_url,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].source_status_id,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].indices,list,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].indices[*],str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].url,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].media_url,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].id_str,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].source_user_id,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].id,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].media_url_https,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].source_user_id_str,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes,dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.thumb,dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.thumb.w,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.thumb.h,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.thumb.resize,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.medium,dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.medium.w,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.medium.h,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.medium.resize,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.small,dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.small.w,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.small.h,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.small.resize,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.large,dict,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.large.w,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.large.h,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].sizes.large.resize,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].type,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].source_status_id_str,str,None,None,None,None,None,None
data/tweet.js:$[*].tweet.entities.media[*].display_url,str,None,None,None,None,None,None
