path,foundType,descriptiveType,unique,default,description,choices,regex
data/like.js:$[*].like,dict,None,None,None,None,None,None
data/like.js:$[*].like.tweetId,str,https://www.wikidata.org/wiki/Property:P5933,None,None,Unique identifiers for the Tweets liked.,None,None
data/like.js:$[*].like.fullText,str,https://schema.org/Text,None,None,Text as visible in the tweet if the account has access to it.,None,None
data/like.js:$[*].like.expandedUrl,str,https://www.wikidata.org/wiki/Q42253,None,None,Link to the actual tweet on twitter.com if the account has access to it.,None,None
data/lists-created.js:$,RootNode,None,N/A,N/A,URLs of Lists created by the account.,N/A,N/A
data/lists-member.js:$,RootNode,None,N/A,N/A,URLs of Lists the account has been added to and is eligible to access.,N/A,N/A
data/lists-member.js:$[*],dict,None,None,None,None,None,None
data/lists-member.js:$[*].userListInfo,dict,None,None,None,None,None,None
data/lists-member.js:$[*].userListInfo.url,str,https://www.wikidata.org/wiki/Q42253,None,None,URL of the lists of which the account has been make a member,None,None
data/lists-subscribed.js:$,RootNode,None,N/A,N/A,URLs of Lists the account has subscribed to.,N/A,N/A
data/lists-subscribed.js:$[*],dict,None,None,None,None,None,None
data/lists-subscribed.js:$[*].userListInfo,dict,None,None,None,None,None,None
data/lists-subscribed.js:$[*].userListInfo.url,str,https://www.wikidata.org/wiki/Q42253,None,None,URLs of Lists the account has subscribed to.,None,None
data/manifest.js:$,RootNode,None,N/A,N/A,None,N/A,N/A
data/manifest.js:$.userInfo,dict,None,None,None,None,None,None
data/manifest.js:$.userInfo.accountId,str,https://www.wikidata.org/wiki/Property:P6552,None,None,Unique identifier for the account.,None,None
data/manifest.js:$.userInfo.userName,str,https://www.wikidata.org/wiki/Q53311579,None,None,Twitter username (begins with an @),None,None
data/manifest.js:$.userInfo.displayName,str,https://www.wikidata.org/wiki/Q15901043,None,None,Twitter screen name (freeform),None,None
data/manifest.js:$.archiveInfo,dict,None,None,None,None,None,None
data/manifest.js:$.archiveInfo.sizeBytes,str,None,None,None,None,None,None
data/manifest.js:$.archiveInfo.generationDate,str,None,None,None,None,None,None
data/manifest.js:$.archiveInfo.isPartialArchive,bool,None,None,None,None,None,None
data/manifest.js:$.archiveInfo.maxPartSizeBytes,str,None,None,None,None,None,None
data/manifest.js:$.readmeInfo,dict,None,None,None,None,None,None
data/manifest.js:$.readmeInfo.fileName,str,None,None,None,None,None,None
data/manifest.js:$.readmeInfo.directory,str,None,None,None,None,None,None
data/manifest.js:$.readmeInfo.name,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.account,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.account.files,list,None,None,None,None,None,None
